X,drugbank_id,drugbank_name,umls_cui_from_meddra,side_effect_name
4092,DB04441,2-FLUOROADENOSINE,C0000737,Abdominal pain
4093,DB04441,2-FLUOROADENOSINE,C1168174,Absolute neutrophil count decreased
4094,DB04441,2-FLUOROADENOSINE,C1096116,Acquired haemophilia
4095,DB04441,2-FLUOROADENOSINE,C0948089,Acute coronary syndrome
4096,DB04441,2-FLUOROADENOSINE,C0085669,Acute leukaemia
4097,DB04441,2-FLUOROADENOSINE,C0023467,Acute myeloid leukaemia
4098,DB04441,2-FLUOROADENOSINE,C0035222,Acute respiratory distress syndrome
4099,DB04441,2-FLUOROADENOSINE,C0085631,Agitation
4100,DB04441,2-FLUOROADENOSINE,C0002170,Alopecia
4101,DB04441,2-FLUOROADENOSINE,C0002390,Alveolitis allergic
4102,DB04441,2-FLUOROADENOSINE,C0002871,Anaemia
4103,DB04441,2-FLUOROADENOSINE,C0002792,Anaphylactic shock
4104,DB04441,2-FLUOROADENOSINE,C0002940,Aneurysm
4105,DB04441,2-FLUOROADENOSINE,C0002962,Angina pectoris
4106,DB04441,2-FLUOROADENOSINE,C0003123,Anorexia
4107,DB04441,2-FLUOROADENOSINE,C0243065,Aplasia
4108,DB04441,2-FLUOROADENOSINE,C0003811,Arrhythmia
4109,DB04441,2-FLUOROADENOSINE,C0003862,Arthralgia
4110,DB04441,2-FLUOROADENOSINE,C0004093,Asthenia
4111,DB04441,2-FLUOROADENOSINE,C0002880,Autoimmune haemolytic anaemia
4112,DB04441,2-FLUOROADENOSINE,C0242584,Autoimmune thrombocytopenia
4113,DB04441,2-FLUOROADENOSINE,C0004604,Back pain
4114,DB04441,2-FLUOROADENOSINE,C0456909,Blindness
4115,DB04441,2-FLUOROADENOSINE,C0853149,Blood lactate dehydrogenase increased
4116,DB04441,2-FLUOROADENOSINE,C0235416,Blood uric acid increased
4117,DB04441,2-FLUOROADENOSINE,C0015967,Body temperature increased
4118,DB04441,2-FLUOROADENOSINE,C0151773,Bone marrow depression
4119,DB04441,2-FLUOROADENOSINE,C0006277,Bronchitis
4120,DB04441,2-FLUOROADENOSINE,C0018801,Cardiac failure
4121,DB04441,2-FLUOROADENOSINE,C0018802,Cardiac failure congestive
4122,DB04441,2-FLUOROADENOSINE,C0007760,Cerebellar syndrome
4123,DB04441,2-FLUOROADENOSINE,C2937358,Cerebral haemorrhage
4124,DB04441,2-FLUOROADENOSINE,C0038454,Cerebrovascular accident
4125,DB04441,2-FLUOROADENOSINE,C0008031,Chest pain
4126,DB04441,2-FLUOROADENOSINE,C0085593,Chills
4127,DB04441,2-FLUOROADENOSINE,C0008350,Cholelithiasis
4128,DB04441,2-FLUOROADENOSINE,C0009421,Coma
4129,DB04441,2-FLUOROADENOSINE,C0009676,Confusional state
4130,DB04441,2-FLUOROADENOSINE,C0009806,Constipation
4131,DB04441,2-FLUOROADENOSINE,C0036572,Convulsion
4132,DB04441,2-FLUOROADENOSINE,C0010200,Cough
4133,DB04441,2-FLUOROADENOSINE,C0574067,Cough increased
4134,DB04441,2-FLUOROADENOSINE,C0151579,Crystalluria
4135,DB04441,2-FLUOROADENOSINE,C0085692,Cystitis haemorrhagic
4136,DB04441,2-FLUOROADENOSINE,C0010828,Cytopenia
4137,DB04441,2-FLUOROADENOSINE,C0011053,Deafness
4138,DB04441,2-FLUOROADENOSINE,C0232462,Decreased appetite
4139,DB04441,2-FLUOROADENOSINE,C0149871,Deep vein thrombosis
4140,DB04441,2-FLUOROADENOSINE,C0011175,Dehydration
4141,DB04441,2-FLUOROADENOSINE,C0011603,Dermatitis
4142,DB04441,2-FLUOROADENOSINE,C0011991,Diarrhoea
4143,DB04441,2-FLUOROADENOSINE,C0232459,Digestion impaired
4144,DB04441,2-FLUOROADENOSINE,C0234215,Discomfort
4145,DB04441,2-FLUOROADENOSINE,C0013395,Dyspepsia
4146,DB04441,2-FLUOROADENOSINE,C0011168,Dysphagia
4147,DB04441,2-FLUOROADENOSINE,C0013404,Dyspnoea
4148,DB04441,2-FLUOROADENOSINE,C0013428,Dysuria
4149,DB04441,2-FLUOROADENOSINE,C0014591,Epistaxis
4150,DB04441,2-FLUOROADENOSINE,C0014742,Erythema multiforme
4151,DB04441,2-FLUOROADENOSINE,C0272126,Evans syndrome
4152,DB04441,2-FLUOROADENOSINE,C0015672,Fatigue
4153,DB04441,2-FLUOROADENOSINE,C1443060,Feeling abnormal
4154,DB04441,2-FLUOROADENOSINE,C0016059,Fibrosis
4155,DB04441,2-FLUOROADENOSINE,C0016199,Flank pain
4156,DB04441,2-FLUOROADENOSINE,C0017178,Gastrointestinal disorder
4157,DB04441,2-FLUOROADENOSINE,C0017181,Gastrointestinal haemorrhage
4158,DB04441,2-FLUOROADENOSINE,C0687713,Gastrointestinal pain
4159,DB04441,2-FLUOROADENOSINE,C0018965,Haematuria
4160,DB04441,2-FLUOROADENOSINE,C0518015,Haemoglobin
4161,DB04441,2-FLUOROADENOSINE,C0162119,Haemoglobin decreased
4162,DB04441,2-FLUOROADENOSINE,C0002878,Haemolytic anaemia
4163,DB04441,2-FLUOROADENOSINE,C0019079,Haemoptysis
4164,DB04441,2-FLUOROADENOSINE,C0019080,Haemorrhage
4165,DB04441,2-FLUOROADENOSINE,C0018681,Headache
4166,DB04441,2-FLUOROADENOSINE,C1384666,Hearing impaired
4167,DB04441,2-FLUOROADENOSINE,C0085605,Hepatic failure
4168,DB04441,2-FLUOROADENOSINE,C0267792,Hepatobiliary disease
4169,DB04441,2-FLUOROADENOSINE,C0019348,Herpes simplex
4170,DB04441,2-FLUOROADENOSINE,C0019360,Herpes zoster
4171,DB04441,2-FLUOROADENOSINE,C0020456,Hyperglycaemia
4172,DB04441,2-FLUOROADENOSINE,C0020458,Hyperhidrosis
4173,DB04441,2-FLUOROADENOSINE,C0020461,Hyperkalaemia
