drugbank_name,drugbank_id,side_effect_name
CARNITINE,C0000729,Abdominal cramps
CARNITINE,C0000729,Abdominal pain
CARNITINE,C0000729,Gastrointestinal pain
CARNITINE,C0000729,Amblyopia
CARNITINE,C0000729,Anaemia
CARNITINE,C0000729,Anorexia
CARNITINE,C0000729,Decreased appetite
CARNITINE,C0000729,Anxiety
CARNITINE,C0000729,Arrhythmia
CARNITINE,C0000729,Asthenia
CARNITINE,C0000729,Atrial fibrillation
CARNITINE,C0000729,Back pain
CARNITINE,C0000729,Bronchitis
CARNITINE,C0000729,Cardiovascular disorder
CARNITINE,C0000729,Chest pain
CARNITINE,C0000729,Infection
CARNITINE,C0000729,Constipation
CARNITINE,C0000729,Cough
CARNITINE,C0000729,Depression
CARNITINE,C0000729,Diarrhoea
CARNITINE,C0000729,Dizziness
CARNITINE,C0000729,Dysgeusia
CARNITINE,C0000729,Dyspepsia
CARNITINE,C0000729,Dyspnoea
CARNITINE,C0000729,Rash
CARNITINE,C0000729,Dermatitis
CARNITINE,C0000729,Eye disorder
CARNITINE,C0000729,Body temperature increased
CARNITINE,C0000729,Gastritis
CARNITINE,C0000729,Gastrointestinal disorder
CARNITINE,C0000729,Headache
CARNITINE,C0000729,Haemorrhage
CARNITINE,C0000729,Haemoglobin
CARNITINE,C0000729,Hypercalcaemia
CARNITINE,C0000729,Hyperkalaemia
CARNITINE,C0000729,Hypersensitivity
CARNITINE,C0000729,Hypertension
CARNITINE,C0000729,Hypotension
CARNITINE,C0000729,Influenza
CARNITINE,C0000729,Cramps of lower extremities
CARNITINE,C0000729,Muscle spasms
CARNITINE,C0000729,Melaena
CARNITINE,C0000729,Hypertonia
CARNITINE,C0000729,Nausea
CARNITINE,C0000729,Pain
CARNITINE,C0000729,Palpitations
CARNITINE,C0000729,Parathyroid disorder
CARNITINE,C0000729,Paraesthesia
CARNITINE,C0000729,Pharyngitis
CARNITINE,C0000729,Pruritus
CARNITINE,C0000729,Renal failure
CARNITINE,C0000729,Rhinitis
CARNITINE,C0000729,Convulsion
CARNITINE,C0000729,Sinusitis
CARNITINE,C0000729,Tachycardia
CARNITINE,C0000729,Urinary tract infection
CARNITINE,C0000729,Angiopathy
CARNITINE,C0000729,Vertigo
CARNITINE,C0000729,Vomiting
CARNITINE,C0000729,Weight increased
CARNITINE,C0000729,Weight decreased
CARNITINE,C0000729,Body odor
CARNITINE,C0000729,Skin odour abnormal
CARNITINE,C0000729,Oedema peripheral
CARNITINE,C0000729,Injection site reaction
CARNITINE,C0000729,Accidental injury
CARNITINE,C0000729,Injury
CARNITINE,C0000729,Gastric atony
CARNITINE,C0000729,Impaired gastric emptying
CARNITINE,C0000729,Myalgia
CARNITINE,C0000729,Musculoskeletal discomfort
CARNITINE,C0000729,Gastrointestinal symptom NOS
CARNITINE,C0000729,Electrocardiogram abnormal
CARNITINE,C0000729,Fluid overload
CARNITINE,C0000729,Insomnia
CARNITINE,C0000729,Myasthenia
CARNITINE,C0000729,Muscular weakness
CARNITINE,C0000729,Drug dependence
LEUCOVORIN,C0002170,Alopecia
LEUCOVORIN,C0002170,Anorexia
LEUCOVORIN,C0002170,Decreased appetite
LEUCOVORIN,C0002170,Infection
LEUCOVORIN,C0002170,Constipation
LEUCOVORIN,C0002170,Dermatitis
LEUCOVORIN,C0002170,Diarrhoea
LEUCOVORIN,C0002170,Rash
LEUCOVORIN,C0002170,Extravasation
LEUCOVORIN,C0002170,Fatigue
LEUCOVORIN,C0002170,Asthenia
LEUCOVORIN,C0002170,Hypersensitivity
LEUCOVORIN,C0002170,Lethargy
LEUCOVORIN,C0002170,Leukopenia
LEUCOVORIN,C0002170,Nausea
LEUCOVORIN,C0002170,Pruritus
LEUCOVORIN,C0002170,Convulsion
LEUCOVORIN,C0002170,Stomatitis
LEUCOVORIN,C0002170,Thrombocytopenia
LEUCOVORIN,C0002170,Erythema
LEUCOVORIN,C0002170,Urticaria
LEUCOVORIN,C0002170,Vomiting
LEUCOVORIN,C0002170,Wheezing
LEUCOVORIN,C0002170,Malaise
LEUCOVORIN,C0002170,Discomfort
LEUCOVORIN,C0002170,Feeling abnormal
LEUCOVORIN,C0002170,Ill-defined disorder
LEUCOVORIN,C0002170,Anaphylactoid reaction
LEUCOVORIN,C0002170,Anaphylactic shock
LEUCOVORIN,C0002170,Serum creatinine increased
LEUCOVORIN,C0002170,Blood creatinine increased
LEUCOVORIN,C0002170,Febrile neutropenia
LEUCOVORIN,C0002170,Sensitisation
LEUCOVORIN,C0002170,Acute kidney injury
LEUCOVORIN,C0002170,Renal failure acute
LEUCOVORIN,C0002170,Body temperature increased
LEUCOVORIN,C0002170,Syncope
LEUCOVORIN,C0002170,Dizziness
LEUCOVORIN,C0002170,Loss of consciousness
LEUCOVORIN,C0002170,Shock
LEUCOVORIN,C0002170,Abdominal pain
LEUCOVORIN,C0002170,Gastrointestinal pain
LEUCOVORIN,C0002170,Confusional state
LEUCOVORIN,C0002170,Dysgeusia
LEUCOVORIN,C0002170,Dyspepsia
LEUCOVORIN,C0002170,Dyspnoea
LEUCOVORIN,C0002170,Gastrointestinal disorder
LEUCOVORIN,C0002170,Skin disorder
LEUCOVORIN,C0002170,Kidney function abnormal
LEUCOVORIN,C0002170,Renal impairment
LEUCOVORIN,C0002170,Abdominal pain upper
LEUCOVORIN,C0002170,Abdominal pain lower
LEUCOVORIN,C0002170,Abdominal tenderness
LEUCOVORIN,C0002170,Disease progression
LEUCOVORIN,C0002170,Caecitis
LEUCOVORIN,C0002170,Rigors
LEUCOVORIN,C0002170,Chills
LEUCOVORIN,C0002170,Neuropathy
LEUCOVORIN,C0002170,Neuropathy peripheral
ACETYLCHOLINE,C0010037,Corneal oedema
ACETYLCHOLINE,C0010037,Corneal opacity
ACETYLCHOLINE,C0010037,Dyspnoea
ACETYLCHOLINE,C0010037,Flushing
ACETYLCHOLINE,C0010037,Hypotension
ACETYLCHOLINE,C0010037,Sweating
ACETYLCHOLINE,C0010037,Hyperhidrosis
ACETYLCHOLINE,C0010037,Bradycardia
ACETYLCHOLINE,C0010037,Corneal decompensation
ADENOSINE,C0002792,Anaphylactic shock
ADENOSINE,C0002792,Angioedema
ADENOSINE,C0002792,Apnoea
ADENOSINE,C0002792,Arrhythmia
ADENOSINE,C0002792,Asthenia
ADENOSINE,C0002792,Atrial fibrillation
ADENOSINE,C0002792,Atrioventricular block
ADENOSINE,C0002792,Back pain
ADENOSINE,C0002792,Bronchospasm
ADENOSINE,C0002792,Chest pain
ADENOSINE,C0002792,Cough
ADENOSINE,C0002792,Dizziness
ADENOSINE,C0002792,Drowsiness
ADENOSINE,C0002792,Somnolence
ADENOSINE,C0002792,Dyspnoea
ADENOSINE,C0002792,Rash
ADENOSINE,C0002792,Dermatitis
ADENOSINE,C0002792,Flushing
ADENOSINE,C0002792,Headache
ADENOSINE,C0002792,Cardiac arrest
ADENOSINE,C0002792,Cardiac disorder
ADENOSINE,C0002792,Cardiac failure
ADENOSINE,C0002792,Hypersensitivity
ADENOSINE,C0002792,Hypertension
ADENOSINE,C0002792,Hyperventilation
ADENOSINE,C0002792,Hypotension
ADENOSINE,C0002792,Mediastinal disorder
ADENOSINE,C0002792,Myocardial infarction
ADENOSINE,C0002792,Acute coronary syndrome
ADENOSINE,C0002792,Nasal congestion
ADENOSINE,C0002792,Nausea
ADENOSINE,C0002792,Nervousness
ADENOSINE,C0002792,Tension
ADENOSINE,C0002792,Numbness
ADENOSINE,C0002792,Sensory loss
ADENOSINE,C0002792,Hypoaesthesia
ADENOSINE,C0002792,Pain
ADENOSINE,C0002792,Palpitations
ADENOSINE,C0002792,Paraesthesia
ADENOSINE,C0002792,Supraventricular extrasystoles
ADENOSINE,C0002792,Scotoma
ADENOSINE,C0002792,Convulsion
ADENOSINE,C0002792,Sinoatrial block
ADENOSINE,C0002792,Device capturing issue
ADENOSINE,C0002792,Cerebrovascular accident
ADENOSINE,C0002792,Sweating
ADENOSINE,C0002792,Hyperhidrosis
ADENOSINE,C0002792,Syncope
ADENOSINE,C0002792,Loss of consciousness
ADENOSINE,C0002792,Shock
ADENOSINE,C0002792,Tachycardia
ADENOSINE,C0002792,Sinus tachycardia
ADENOSINE,C0002792,Tinnitus
ADENOSINE,C0002792,Torsade de pointes
ADENOSINE,C0002792,Tremor
ADENOSINE,C0002792,Urticaria
ADENOSINE,C0002792,Ventricular fibrillation
ADENOSINE,C0002792,Ventricular tachycardia
ADENOSINE,C0002792,Vomiting
ADENOSINE,C0002792,Dry mouth
ADENOSINE,C0002792,Bronchoconstriction
ADENOSINE,C0002792,Micturition urgency
ADENOSINE,C0002792,Pollakiuria
ADENOSINE,C0002792,Ventricular arrhythmia
ADENOSINE,C0002792,Atrioventricular block first degree
ADENOSINE,C0002792,Burning sensation
ADENOSINE,C0002792,Mood swings
ADENOSINE,C0002792,Affect lability
ADENOSINE,C0002792,Atrioventricular block complete
ADENOSINE,C0002792,Ventricular extrasystoles
ADENOSINE,C0002792,Haemorrhage intracranial
ADENOSINE,C0002792,Injection site reaction
ADENOSINE,C0002792,Intracranial pressure increased
ADENOSINE,C0002792,Myocardial ischaemia
ADENOSINE,C0002792,Respiratory arrest
ADENOSINE,C0002792,Fatal outcomes
ADENOSINE,C0002792,Lightheadedness
ADENOSINE,C0002792,Skipped beats
ADENOSINE,C0002792,Extrasystoles
ADENOSINE,C0002792,Abdominal discomfort
ADENOSINE,C0002792,Apprehension
ADENOSINE,C0002792,Anxiety
ADENOSINE,C0002792,Discomfort
ADENOSINE,C0002792,Head pressure
ADENOSINE,C0002792,Excitability
ADENOSINE,C0002792,Agitation
ADENOSINE,C0002792,Back distress
ADENOSINE,C0002792,Musculoskeletal discomfort
ADENOSINE,C0002792,Chest discomfort
ADENOSINE,C0002792,Throat tightness
ADENOSINE,C0002792,Taste metallic
ADENOSINE,C0002792,Dysgeusia
ADENOSINE,C0002792,Atrioventricular block second degree
ADENOSINE,C0002792,Vision blurred
ADENOSINE,C0002792,Bradycardia
ADENOSINE,C0002792,Chest pressure
ADENOSINE,C0002792,Tonic-clonic seizures
ADENOSINE,C0002792,Grand mal convulsion
ADENOSINE,C0002792,Blood pressure increased
ADENOSINE,C0002792,Electrocardiogram ST segment elevation
ADENOSINE,C0002792,Electrocardiogram ST segment depression
ADENOSINE,C0002792,Sinus arrest
ADENOSINE,C0002792,Non-sustained ventricular tachycardia
ADENOSINE,C0002792,Limb discomfort
ADENOSINE,C0002792,Nodal block
ADENOSINE,C0002792,General discomfort
ADENOSINE,C0002792,Ear discomfort
ADENOSINE,C0002792,Gastrointestinal discomfort
ADENOSINE,C0002792,Respiratory failure
ADENOSINE,C0002792,Coronary artery disease
ADENOSINE,C0002792,Tingling sensation
GLUCOSE,C0000833,Abscess
GLUCOSE,C0000833,Acidosis
GLUCOSE,C0000833,Asthenia
GLUCOSE,C0000833,Central nervous system disorder
GLUCOSE,C0000833,Nervous system disorder
GLUCOSE,C0000833,Coma
GLUCOSE,C0000833,Confusional state
GLUCOSE,C0000833,Feeling abnormal
GLUCOSE,C0000833,Dehydration
GLUCOSE,C0000833,Dizziness
GLUCOSE,C0000833,Oedema
GLUCOSE,C0000833,Extravasation
GLUCOSE,C0000833,Body temperature increased
GLUCOSE,C0000833,Headache
GLUCOSE,C0000833,Cardiac failure congestive
GLUCOSE,C0000833,Haemolysis
GLUCOSE,C0000833,Hypernatraemia
GLUCOSE,C0000833,Hypertension
GLUCOSE,C0000833,Hypokalaemia
GLUCOSE,C0000833,Irritability
GLUCOSE,C0000833,Necrosis
GLUCOSE,C0000833,Pain
GLUCOSE,C0000833,Phlebitis
GLUCOSE,C0000833,Pulmonary embolism
GLUCOSE,C0000833,Salivation
GLUCOSE,C0000833,Salivary hypersecretion
GLUCOSE,C0000833,Convulsion
GLUCOSE,C0000833,Shock
GLUCOSE,C0000833,Tachycardia
GLUCOSE,C0000833,Thirst
GLUCOSE,C0000833,Thrombophlebitis
GLUCOSE,C0000833,Loss of consciousness
GLUCOSE,C0000833,Venous thrombosis
GLUCOSE,C0000833,Agitation
GLUCOSE,C0000833,Tenderness
GLUCOSE,C0000833,Lacrimation
GLUCOSE,C0000833,Lacrimation increased
GLUCOSE,C0000833,Water retention
GLUCOSE,C0000833,Fluid retention
GLUCOSE,C0000833,Fluid overload
GLUCOSE,C0000833,Respiratory failure
GLUCOSE,C0000833,Somnolence
BETAINE,C0002170,Alopecia
BETAINE,C0002170,Anorexia
BETAINE,C0002170,Decreased appetite
BETAINE,C0002170,Mental disorder
BETAINE,C0002170,Edema cerebral
BETAINE,C0002170,Brain oedema
BETAINE,C0002170,Diarrhoea
BETAINE,C0002170,Gastrointestinal disorder
BETAINE,C0002170,Glossitis
BETAINE,C0002170,Headache
BETAINE,C0002170,Homocystinuria
BETAINE,C0002170,Irritability
BETAINE,C0002170,Nausea
BETAINE,C0002170,Nervous system disorder
BETAINE,C0002170,Personality disorder
BETAINE,C0002170,Sleep disturbance
BETAINE,C0002170,Sleep disorder
BETAINE,C0002170,Tooth disorder
BETAINE,C0002170,Urinary incontinence
BETAINE,C0002170,Urinary tract disorder
BETAINE,C0002170,Urethral disorder
BETAINE,C0002170,Urticaria
BETAINE,C0002170,Vomiting
BETAINE,C0002170,Agitation
BETAINE,C0002170,Malnutrition
BETAINE,C0002170,Unspecified disorder of skin and subcutaneous tissue
BETAINE,C0002170,Skin disorder
BETAINE,C0002170,Skin odour abnormal
BETAINE,C0002170,Upset stomach
BETAINE,C0002170,Abdominal discomfort
BETAINE,C0002170,Hypermethioninaemia
BETAINE,C0002170,Bad taste
